"species","bill_length","bill_depth","flipper_length","body_mass","sex"
"Adelie",42.1,19.1,195,4000,2
"Chinstrap",50.6,19.4,193,3800,2
"Adelie",37,16.5,185,3400,1
"Adelie",42,19.5,200,4050,2
"Chinstrap",48.5,17.5,191,3400,2
"Chinstrap",43.2,16.6,187,2900,1
"Chinstrap",51,18.8,203,4100,2
"Gentoo",50.5,15.2,216,5000,1
"Gentoo",41.7,14.7,210,4700,1
"Adelie",40.1,18.9,188,4300,2
"Gentoo",43.2,14.5,208,4450,1
"Chinstrap",49.6,18.2,193,3775,2
"Adelie",40.6,19,199,4000,2
"Adelie",36.8,18.5,193,3500,1
"Gentoo",48.7,14.1,210,4450,1
"Adelie",39.5,17.4,186,3800,1
"Adelie",35.5,17.5,190,3700,1
"Adelie",41.4,18.5,202,3875,2
"Adelie",37.6,17,185,3600,1
"Gentoo",45.3,13.7,210,4300,1
"Gentoo",49.4,15.8,216,4925,2
"Adelie",42.5,20.7,197,4500,2
"Gentoo",47.6,14.5,215,5400,2
"Adelie",37.6,19.1,194,3750,2
"Adelie",46,21.5,194,4200,2
"Adelie",36.5,16.6,181,2850,1
"Adelie",42.3,21.2,191,4150,2
"Gentoo",47.8,15,215,5650,2
"Gentoo",45.1,14.4,210,4400,1
"Adelie",41.1,19.1,188,4100,2
"Adelie",39.6,17.7,186,3500,1
"Gentoo",43.8,13.9,208,4300,1
"Chinstrap",49,19.5,210,3950,2
"Adelie",41,20,203,4725,2
"Chinstrap",50.2,18.8,202,3800,2
"Adelie",37.3,16.8,192,3000,1
"Chinstrap",49.2,18.2,195,4400,2
"Chinstrap",50.9,19.1,196,3550,2
"Gentoo",51.3,14.2,218,5300,2
"Gentoo",50.4,15.7,222,5750,2
"Adelie",38.1,17.6,187,3425,1
"Gentoo",43.6,13.9,217,4900,1
"Chinstrap",42.5,17.3,187,3350,1
"Adelie",38.6,21.2,191,3800,2
"Gentoo",49,16.1,216,5550,2
"Gentoo",49.5,16.2,229,5800,2
"Gentoo",48.6,16,230,5800,2
"Adelie",37.2,19.4,184,3900,2
"Gentoo",46.9,14.6,222,4875,1
"Chinstrap",46.7,17.9,195,3300,1
"Chinstrap",42.5,16.7,187,3350,1
"Gentoo",44.4,17.3,219,5250,2
"Gentoo",44.5,14.7,214,4850,1
"Chinstrap",52.2,18.8,197,3450,2
"Chinstrap",46.1,18.2,178,3250,1
"Chinstrap",47,17.3,185,3700,1
"Gentoo",55.1,16,230,5850,2
"Gentoo",45.2,14.8,212,5200,1
"Chinstrap",50.5,18.4,200,3400,1
"Gentoo",48.5,15,219,4850,1
"Chinstrap",43.5,18.1,202,3400,1
"Chinstrap",45.6,19.4,194,3525,1
"Chinstrap",46.2,17.5,187,3650,1
"Gentoo",43.4,14.4,218,4600,1
"Chinstrap",51.7,20.3,194,3775,2
"Gentoo",47.2,15.5,215,4975,1
"Adelie",36.4,17,195,3325,1
"Adelie",39.2,19.6,195,4675,2
"Adelie",40.2,20.1,200,3975,2
"Adelie",36.2,17.2,187,3150,1
"Gentoo",51.1,16.5,225,5250,2
"Adelie",35.3,18.9,187,3800,1
"Adelie",35.2,15.9,186,3050,1
"Adelie",42.2,18.5,180,3550,1
"Adelie",39.7,17.9,193,4250,2
"Gentoo",45.4,14.6,211,4800,1
"Gentoo",50.8,15.7,226,5200,2
"Gentoo",45.5,14.5,212,4750,1
"Adelie",39.5,16.7,178,3250,1
"Adelie",40.9,18.9,184,3900,2
"Adelie",35.6,17.5,191,3175,1
"Adelie",36.4,17.1,184,2850,1
"Gentoo",45.8,14.6,210,4200,1
"Gentoo",47.5,14.2,209,4600,1
"Gentoo",46.8,14.3,215,4850,1
"Gentoo",48.8,16.2,222,6000,2
"Gentoo",52.5,15.6,221,5450,2
"Gentoo",46.3,15.8,215,5050,2
"Adelie",41.1,17.6,182,3200,1
"Adelie",37.8,18.1,193,3750,2
"Gentoo",42.6,13.7,213,4950,1
"Adelie",37.3,17.8,191,3350,1
"Adelie",42.2,19.5,197,4275,2
"Gentoo",48.4,16.3,220,5400,2
"Adelie",40.5,18.9,180,3950,2
"Gentoo",54.3,15.7,231,5650,2
"Adelie",35.7,17,189,3350,1
"Adelie",36,17.9,190,3450,1
"Gentoo",48.2,14.3,210,4600,1
"Adelie",35.1,19.4,193,4200,2
"Adelie",45.8,18.9,197,4150,2
"Adelie",37.9,18.6,172,3150,1
"Adelie",36.7,18.8,187,3800,1
"Adelie",36.2,16.1,187,3550,1
"Gentoo",45.8,14.2,219,4700,1
"Adelie",36.9,18.6,189,3500,1
"Gentoo",50,15.9,224,5350,2
"Adelie",44.1,19.7,196,4400,2
"Gentoo",45,15.4,220,5050,2
"Adelie",43.1,19.2,197,3500,2
"Adelie",33.5,19,190,3600,1
"Adelie",42.8,18.5,195,4250,2
"Gentoo",46.5,14.4,217,4900,1
"Gentoo",46.2,14.1,217,4375,1
"Chinstrap",47.6,18.3,195,3850,1
\n
